03.02.2003;12749.19;ПО СЧ.100005273777 ОТ 18.11.02 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;12749.19
03.02.2003;1216.93;ПО СЧ.100006208676 ОТ 17.01.09 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;1216.93
03.02.2003;5509.65;ПО СЧ.100006208686 ОТ 17.01.09 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;5509.65
03.02.2003;6464.16;ПО СЧ.100006208698 ОТ 17.01.09 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;6464.16
03.02.2003;4.5;ОПЛАТА ПО СЧЕТУ 100006022709 ОТ 02.01.09 ЗА УСЛУГИ;09.02.2009;4.5
03.02.2003;10748.37;ПРЕДОПЛАТА ПО СЧЕТУ 100006229147 ОТ 17.01.09 Г. ЗА;09.02.2009;10748.37
03.02.2003;1773;ОПЛАТА ПО СЧ  100006275432 (КЛИЕНТ 22994192) ОТ 22;09.02.2009;1773.0
03.02.2003;3858.34;ОПЛАТА МЕЖДУНАРОДНОЙ СВЯЗИ ТЕЛ 909-128-02-66. КЛИЕ;09.02.2009;3858.34
03.02.2003;5792.42;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ 100006393606 ОТ 27.01;09.02.2009;5792.42
03.02.2003;5977.86;КЛИЕНТ 41512099.ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ-ФАК.1;09.02.2009;5977.86
03.02.2003;8224.38;-ПО СЧЕТУ 100005942018 ОТ 27.12.200 2Г ЗА УСЛУГИ П;09.02.2009;8224.38
03.02.2003;1245.12;ПО СЧ.100006138523 ОТ 12.01.09Г. УСЛУГИ СВЯЗИ В Т.;09.02.2009;1245.12
03.02.2003;10078.63;ОПЛАТА ПО СЧ. N 100006256842 ОТ 17.01.09 ЗА  УСЛУГ;09.02.2009;10078.63
03.02.2003;9870.6;ОПЛАТА ПО СЧ. N 100006256845 ОТ 17.01.09 ЗА  УСЛУГ;09.02.2009;9870.6
03.02.2003;62993.4;ОПЛАТА ПО СЧ.100006069584 . СОГЛ.ДОГ.N 21971416 В ;09.02.2009;62993.4
03.02.2003;18548.28;ОПЛАТА ПО СЧ.100006084855 . СОГЛ.ДОГ.N 22345683 В ;09.02.2009;18548.28
03.02.2003;2083.22;ОПЛАТА СЧ 100006216277 ОТ 17.01.09 НДС 346.99;09.02.2009;2083.22
03.02.2003;31494.03;ПО СЧN 100006119282 ЗА УСЛУГИ СВЯЗИ .ТЕЛЕФОН 09529;09.02.2009;31494.03
03.02.2003;2114.37;ОПЛАТА ПО СЧЕТУ 100006204643 ОТ 17.01.2009Г. ЗА УС;09.02.2009;2114.37
05.02.2003;6732000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;6732000.0
05.02.2003;3619000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;3619000.0
05.02.2003;6580000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;6580000.0
05.02.2003;8640000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;8640000.0
05.02.2003;7294000;ОПЛАТА ПО ДОГОВОРУ;07.02.2009;7294000.0
03.02.2003;6.1;ДОГОВОР 305-305010-275 ОТ 16-04.2002 Г. СЧЕТ 10000;09.02.2009;6.1
03.02.2003;80.2;.ОПЛАТА ЗА УСЛУГИ СОТОВОЙ СВЯЗИ СОГЛ.N 10000631714;09.02.2009;80.2
03.02.2003;270045.72;ОПЛАТА ПО СЧЕТУ 1004091730799 ОТ 09.02.2009Г. В ТЧ;09.02.2009;270045.72
03.02.2003;3805.16;ОПЛАТА ЗА УСЛУГИ СОГЛ СЧ 100006091133 ОТ 07.01.200;09.02.2009;3805.16
03.02.2003;7358.37;ОПЛАТА ПО СЧ.100005701288 ОТ 12.12.2002Г. ЗА УСЛУГ;09.02.2009;7358.37
03.02.2003;11051.72;ОПЛАТА ПО СЧ.100005701239 ОТ 12.12.2002Г. ЗА УСЛУГ;09.02.2009;11051.72
03.02.2003;2242;ЗА УСЛУГИ СВЯЗИ С-НО ДОГ. ЗА ЯНВАРЬ 2009Г. ВКЛЮЧАЯ;09.02.2009;2242.0
03.02.2003;676.49;ОПЛАТА СЧЕТА N 100006245056 ОТ 17.01.2009Г.ОПЛАТА ;09.02.2009;676.49
03.02.2003;3850.9;ОПЛАТА СЧЕТА N 100006245052 ОТ 17.01.2009Г.ОПЛАТА ;09.02.2009;3850.9
03.02.2003;4831.33;ПРЕДОПЛАТА ПО ДОГ 41867295 ОТ 19.06.2002 ЗА УСЛ ТЕ;09.02.2009;4831.33
03.02.2003;6752.1;ОПЛАТА ПО СЧЕТУ 4396465300018 ОТ 30.01.09.43964653;09.02.2009;6752.1
03.02.2003;8393.12;ОПЛАТА ПО СЧ 100006373960 ОТ 27/01/09 КЛИЕНТ 22271;09.02.2009;8393.12
03.02.2003;5428.5;ПО СЧ 10005947376 10005947376 ОТ 27.12.02 ЗА МОБИЛ;09.02.2009;5428.5
03.02.2003;4740.66;СЧ 6198967 ОТ 17.01.09Г УСЛУГИ СВЯЗИ КЛИЕНТ 218461;09.02.2009;4740.66
03.02.2003;45500;ОПЛ УСЛУГ СВЯЗИ ПО СЧ 10000593 ОТ 27.12.02Г В Т.Ч.;09.02.2009;45500.0
03.02.2003;4279.22;ОПЛАТА ЗА УСЛУГИ СВЯЗИ СОГЛАСНО СЧЕТА N 1000063697;09.02.2009;4279.22
03.02.2003;200;ОПЛАТА ЗАДОЛЖ.СОГЛ.СЧ.100005279506 ОТ 18.11.02-0.2;09.02.2009;200.0
03.02.2003;78379.85;25001436 ДОПЛАТА ЗА ТОВАР ПО СЧ .1004091722899 ОТ ;09.02.2009;78379.85
03.02.2003;1385.14;ОПЛАТА УСЛУГ ПО СЧ N 10000626289211 ОТ 22.01.02 Г.;09.02.2009;1385.14
03.02.2003;5436.28;ОПЛАТА ПО СЧЕТАМ N 100006277983.100006277976 ОТ 22;09.02.2009;5436.28
03.02.2003;2361.63;ПО СЧЕТУ 100006393304 ОТ 27.01.09 ГОДА ЗА ТЕЛЕФОНН;09.02.2009;2361.63
03.02.2003;31069.73;ОПЛАТА  СЧЕТА N100006063331 ОТ 07.01.09Г(УЛУГИ СВЯ;09.02.2009;31069.73
03.02.2003;40779.13;ОПЛАТА ПО СЧ.100006302367 ОТ 22.01.09Г ЗА УСЛУГИСВ;09.02.2009;40779.13
03.02.2003;36598.46;ОПЛАТА СЧЕТА 100006063195 ОТ 07.01.09(УСЛУГИ СВЯЗИ;09.02.2009;36598.46
03.02.2003;8800.6;ОПЛАТА ЗА УСЛУГИ СВЯЗИ СОГЛАСНО СЧЕТА   1000061583;09.02.2009;8800.6
03.02.2003;11151.56;ОПЛАТА УСЛУГ СВЯЗИ ПО СЧЕТУ N 100006149737 ОТ 12.0;09.02.2009;11151.56
03.02.2003;490;ОПЛАЧЕН СЧЕТ ЗА УСЛУГИ СВЯЗИ N 5940925 ОТ 27.12.02;09.02.2009;490.0
03.02.2003;2435;ОПЛАЧЕН СЧЕТ ЗА УСЛУГИ СВЯЗИ Ж 5951772 ОТ 27.12.02;09.02.2009;2435.0
03.02.2003;160;ЗА УСЛУГИ СВЯЗИ ПРЕДОПЛАТА ЗА ФЕВРАЛЬ  2009;09.02.2009;160.0
03.02.2003;4897.65;НОМЕР ДОГОВОРА 21732164. ОПЛАТА НО СЧ. N 100006124;09.02.2009;4897.65
03.02.2003;59283.33;ОПЛАТА ЗА ТОВАР ПО СЧЕТУ N 1004091734499; N 100409;09.02.2009;59283.33
03.02.2003;2570;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ 100006410867 ОТ 27.01;09.02.2009;2570.0
03.02.2003;11806.26;ОП.ПО СЧ.  100006224124 ОТ 17.01.09Г ЗА УСЛУГИ СВЯ;09.02.2009;11806.26
03.02.2003;5208.76;ОПЛАТА СЧЕТА 4396457900008 ЗА УСЛУГИ СВЯЗИ. В Т.Ч.;09.02.2009;5208.76
03.02.2003;5110.62;ОПЛАТА ПО СЧ.N 100005930569 ОТ 27.12.2002. БЕЗ НАЛ;09.02.2009;5110.62
03.02.2003;5788.8;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧЕТУ N4395570800048 В Т;09.02.2009;5788.8
03.02.2003;5788.8;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧЕТУ N 4395570800068 В ;09.02.2009;5788.8
03.02.2003;5788.8;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧЕТУ N4395570800058 . В;09.02.2009;5788.8
03.02.2003;9648;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧЕТУ N4395570800018. В ;09.02.2009;9648.0
03.02.2003;20260.8;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧЕТУ N4395570800008. В ;09.02.2009;20260.8
03.02.2003;7361.64;ОПЛАТА ПО СЧЕТУ N 100005980880 ОТ 27.12.2002Г ОПЛА;09.02.2009;7361.64
03.02.2003;6194.98;ЗА УСЛУГИ СВЯЗИ ПО СЧ 100006073241 ОТ 10-01-09 В Т;09.02.2009;6194.98
03.02.2003;2323.36;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ.100006180171 ОТ 12.01;09.02.2009;2323.36
03.02.2003;7523.1;ОПЛАТА ПО СЧЕТУ ЗА УСЛУГИ СВЯЗИ N 4184425100048  В;09.02.2009;7523.1
03.02.2003;14500;ЗА УСЛУГИ ПО СЧ. 100005981227 ОТ 27.12.02 И ПО СЧ.;09.02.2009;14500.0
03.02.2003;11136.98;ОПЛАТА ПО СЧЕТУ  100006244302 ОТ 17/01/09 ЗА УСЛУГ;09.02.2009;11136.98
03.02.2003;24638.47;ОПЛАТА ПО СЧЕТУ N 100006226796 ОТ 17.01.2009Г. ЗА ;09.02.2009;24638.47
03.02.2003;5996;;09.02.2009;5996.0
03.02.2003;3159.01;ПЕРЕЧИСЛ. ЗА УСЛУГИ СВЯЗИ ПО СЧ. 100006217791 ОТ 1;09.02.2009;3159.01
03.02.2003;21690.63;ЗА УСЛУГИ СВЯЗИ ПО С/Ф N100006151015.100006151029 ;09.02.2009;21690.63
03.02.2003;28211.23;ОПЛАТА ПО СЧ.N 1ОООО636О25О ОТ 27.01.2ООЗГ. 3А  УС;09.02.2009;28211.23
03.02.2003;26138.94;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ. 100006241764 ОТ 17.0;09.02.2009;26138.94
03.02.2003;7606.5;ОПЛАТА ПО СЧЕТУ N 100006164742 ОТ 12.01.2009Г. CУМ;09.02.2009;7606.5
03.02.2003;11229.74;ОПЛАТА ПО СЧЕТУ N 100006164732 ОТ 12.01.2009Г. CУМ;09.02.2009;11229.74
03.02.2003;1500;ЗА УСЛ. СВ. СЧ. 100004710796 ОТ 11/10/02 В Т.Ч. НД;09.02.2009;1500.0
