class;bad_scores;;;;;;;;;;;;
03.02.2003;96168.38;ОПЛАТА ПО СЧ.1004091562399 ОТ 04.01.09Г.НДС 16028-;09.02.2009;96168.38;;;;;;;;
03.02.2003;1545.69;ОПЛАТА ПО СЧЕТУ N100006057967 ОТ 07.01.2009Г.- 48.;09.02.2009;1545.69;;;;;;;;
03.02.2003;5000;АВАНСОВЫЙ ПЛАТЕЖ ЗА УСЛУГИ СВЯЗИ В Т.Ч.НДС 20% - 8;09.02.2009;5000.0;;;;;;;;
03.02.2003;7662.87;ОПЛАТА СЧЕТА 100005978799 ОТ 30.12.02;09.02.2009;7662.87;;;;;;;;
03.02.2003;723.44;ВЕРНАДСКОЕ ОСБ N 7970.ОПЛАТА ПО СЧЕТУ N 1000063133;09.02.2009;723.44;;;;;;;;
03.02.2003;1918.35;П/ОПЛАТА ПО СЧ. N 100006137655 ОТ 12.01.09Г. ЗА УС;09.02.2009;1918.35;;;;;;;;
03.02.2003;86993.9;ЗА ТМЦ ПО СЧЕТУ 1004091726799 ОТ 09.02.2009 КЛИЕНТ;09.02.2009;86993.9;;;;;;;;
03.02.2003;2058.14;/076.14.1404.409.268.110600/ ПЛАТА ЗА УСЛУГИ СВЯЗИ;09.02.2009;2058.14;;;;;;;;
03.02.2003;19792;ОКОНЧАТЕЛЬНЫЙ РАСЧЕТ ЗА УСЛУГИ СВЯЗИ ПО СЧ. 100006;09.02.2009;19792.0;;;;;;;;
03.02.2003;2314.8;ОПЛ.ПО СЧ.ЗА ОБОРУД.1002176971899 ОТ 30.01.2009. I;09.02.2009;2314.8;;;;;;;;
03.02.2003;3481.77;ОПЛАТА ПО СЧ N 100006416325 ОТ 27/01/09 В ТЧ НДС -;09.02.2009;3481.77;;;;;;;;
03.02.2003;2616.54;ПО СЧ.100005778149 ОТ 17.12.02 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;2616.54;;;;;;;;
03.02.2003;5177.12;ПО СЧ.100005778156 ОТ 17.12.02 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;5177.12;;;;;;;;
03.02.2003;6838.5;ПО СЧ.100005778163 ОТ 17.12.02 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;6838.5;;;;;;;;
03.02.2003;12749.19;ПО СЧ.100005273777 ОТ 18.11.02 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;12749.19;;;;;;;;
03.02.2003;1216.93;ПО СЧ.100006208676 ОТ 17.01.09 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;1216.93;;;;;;;;
03.02.2003;5509.65;ПО СЧ.100006208686 ОТ 17.01.09 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;5509.65;;;;;;;;
03.02.2003;6464.16;ПО СЧ.100006208698 ОТ 17.01.09 ЗА УСЛУГИ СВЯЗИ В Т;09.02.2009;6464.16;;;;;;;;
03.02.2003;04.май;ОПЛАТА ПО СЧЕТУ 100006022709 ОТ 02.01.09 ЗА УСЛУГИ;09.02.2009;04.май;;;;;;;;
03.02.2003;10748.37;ПРЕДОПЛАТА ПО СЧЕТУ 100006229147 ОТ 17.01.09 Г. ЗА;09.02.2009;10748.37;;;;;;;;
03.02.2003;1773;ОПЛАТА ПО СЧ  100006275432 (КЛИЕНТ 22994192) ОТ 22;09.02.2009;1773.0;;;;;;;;
03.02.2003;3858.34;ОПЛАТА МЕЖДУНАРОДНОЙ СВЯЗИ ТЕЛ 909-128-02-66. КЛИЕ;09.02.2009;3858.34;;;;;;;;
03.02.2003;5792.42;ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ 100006393606 ОТ 27.01;09.02.2009;5792.42;;;;;;;;
03.02.2003;5977.86;КЛИЕНТ 41512099.ОПЛАТА ЗА УСЛУГИ СВЯЗИ ПО СЧ-ФАК.1;09.02.2009;5977.86;;;;;;;;
03.02.2003;8224.38;-ПО СЧЕТУ 100005942018 ОТ 27.12.200 2Г ЗА УСЛУГИ П;09.02.2009;8224.38;;;;;;;;
03.02.2003;1245.12;ПО СЧ.100006138523 ОТ 12.01.09Г. УСЛУГИ СВЯЗИ В Т.;09.02.2009;1245.12;;;;;;;;
03.02.2003;10078.63;ОПЛАТА ПО СЧ. N 100006256842 ОТ 17.01.09 ЗА  УСЛУГ;09.02.2009;10078.63;;;;;;;;
03.02.2003;9870.6;ОПЛАТА ПО СЧ. N 100006256845 ОТ 17.01.09 ЗА  УСЛУГ;09.02.2009;9870.6;;;;;;;;
03.02.2003;62993.4;ОПЛАТА ПО СЧ.100006069584 . СОГЛ.ДОГ.N 21971416 В ;09.02.2009;62993.4;;;;;;;;
03.02.2003;18548.28;ОПЛАТА ПО СЧ.100006084855 . СОГЛ.ДОГ.N 22345683 В ;09.02.2009;18548.28;;;;;;;;
03.02.2003;2083.22;ОПЛАТА СЧ 100006216277 ОТ 17.01.09 НДС 346.99;09.02.2009;2083.22;;;;;;;;
03.02.2003;31494.03;ПО СЧN 100006119282 ЗА УСЛУГИ СВЯЗИ .ТЕЛЕФОН 09529;09.02.2009;31494.03;;;;;;;;
03.02.2003;2114.37;ОПЛАТА ПО СЧЕТУ 100006204643 ОТ 17.01.2009Г. ЗА УС;09.02.2009;2114.37;;;;;;;;
05.02.2003;6732000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;6732000.0;;;;;;;;
05.02.2003;3619000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;3619000.0;;;;;;;;
05.02.2003;6580000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;6580000.0;;;;;;;;
05.02.2003;8640000;ОПЛАТА ПО ДОГОВОРУ;06.02.2009;8640000.0;;;;;;;;
05.02.2003;7294000;ОПЛАТА ПО ДОГОВОРУ;07.02.2009;7294000.0;;;;;;;;
03.02.2003;06.янв;ДОГОВОР 305-305010-275 ОТ 16-04.2002 Г. СЧЕТ 10000;09.02.2009;06.янв;;;;;;;;
