Belize,-72586237.49,92247730.94,1624294250,1077233000,0.652552117,402752316.4,0,3.585,58.32357047,0,7594,0,4,29,31.1,22.64082239,1.026476576,22.49252526,20.70000076,6.199999809,152471,0,0,0,0,0
Bermuda,840649668.3,54904045.83,5573710000,1649401000,0,0,0,0,0,1467000000,0,0.858853439,0,0,0,0,0,0,0,0,65001,1.600000024,0,0,0,0
Bolivia,1053982417,1749612614,30659338929,11386396527,5.715580098,14429068857,8.2,1.739183525,50.25709657,0,-61794,0,0,42,83.7,0,1.451693384,0,3.200000048,2.099999905,7040337,0,0,0,0,0
Brazil,-81108305241,80842996727,2.39208E+12,3.43412E+11,6.201899613,3.58816E+11,9.265205475,7.807103787,103.4221408,1.02046E+12,15924,31.08916817,2,9.6,69.2,14.37128893,1.377780889,24.84245939,8.399999619,4.900000095,173969754,14.5,12,30.39999962,77.90000153,51.79999924
Barbados,0,-8083630.026,4281000000,2137000000,1.804005504,680957879,0,2.510833333,0,3985500000,2180,0,7,27,34.6,0,0,0,13.80000019,9.699999809,89418,2.700000048,10.19999981,27.29999924,88.19999695,69
Brunei Darussalam,0,775641999.1,16110693734,5233535806,0.383263086,3575274093,11.58037604,0.284346667,20.63095392,0,2102,0,4,27,15.8,0,2.557831499,0,4.099999905,3.599999905,315048,0,0,0,0,0
Bhutan,-503880892.9,49784378.01,1798333726,1119922591,7.006666667,991306682.7,17.4978622,6,49.74985913,0,10000,0,4,18,35.3,0,0,0,3.400000095,2.5,280265,56.29999924,10.19999981,11.60000038,24.20000076,39.90000153
Botswana,1769306950,188606245.7,14979304171,8139399207,5.883888483,7726052557,8.38265228,3.1096525,12.87044278,0,20000,0,5,34,25.3,26.65816688,1.992493776,29.71567097,21,14.60000038,1239261,0,0,0,0,0
Central African Republic,0,1852792.612,1537740105,379586476.4,1.501845124,193663727,0,3.208333333,36.65343198,0,10000,0,6,56,73.3,9.455152885,0,9.469135121,8.199999809,6.599999905,1860718,0,0,0,0,0
Canada,-54665307845,70753171503,1.83896E+12,5.84607E+11,0.938291898,71937092647,4.964122278,0.55,0,2.11382E+12,1175863,72.4894404,9,8,19.9,11.58086268,1.004021631,17.40236606,6.599999905,7.5,28644173,2.200000048,8.600000381,30.20000076,90.19999695,66.80000305
Central Europe and the Baltics,0,14756825793,1.41938E+12,8.52419E+11,1.434726602,0,11.25842184,0,64.48675647,2.90184E+11,-770310,0,6.727272727,15.27272727,39.74545455,17.37738241,1.437588136,37.2058856,10.27332576,9.907751196,64507491,11.7482027,18.85879828,41.22853355,70.40160461,46.10597959
Switzerland,73152827932,-22724632073,6.84919E+11,4.12221E+11,-0.240990348,5.36235E+11,5.685386678,0.03,0,1.5407E+12,382267,102.775233,6,19,28.4,0,0.737807384,0,4.5,4.300000191,5968886,3.200000048,10.10000038,29.60000038,83.90000153,63.70000076
Channel Islands,0,0,0,0,0,0,0,0,0,0,3654,0,0,0,0,0,0,0,0,0,50702,0,0,0,0,0
Chile,-10125042079,19263785706,2.76674E+11,91477208343,1.791710733,41093253504,8.126357338,5.168868155,115.6391702,2.6515E+11,201289,14.90791163,4,7,27.7,19.13027425,1.944844028,20.40864386,7,5.300000191,15673249,9.199999809,10.60000038,32.70000076,84.80000305,54.90000153
China,1.82807E+11,2.90928E+11,9.4906E+12,1.95354E+12,2.627118644,3.88037E+12,6.7,3,0,3.94914E+12,-1800000,81.09054129,4,9,68.7,0,2.014901799,0,3.799999952,5.199999809,721691798,0,0,0,0,0
Cote d'Ivoire,-422731751.3,407476278.3,31292560974,12877499180,2.569960899,4242680202,0,3.5,0,11834100000,50000,0,6,63,52.5,14.25744697,0,15.20023437,3.799999952,4.199999809,11409323,0,0,0,0,0
Cameroon,-1127766813,547249169.1,29567504655,8547785604,1.945145275,3471999845,3.633119389,3.208333333,15.48292559,0,-60000,0,6,44,48.8,0,1.328622943,0,4.800000191,3.400000095,11827446,0,0,0,0,0
